#ZJHHY
A|农、林、牧、渔业
CJ1730|仪器仪表Ⅱ
CJ173001|仪器仪表Ⅲ
CJ1740|运输设备
CJ174001|船舶制造
CJ174002|铁路设备
CJ1750|专用设备
CJ175001|半导体及3C设备
CJ175002|纺织服装设备
CJ175003|光伏设备
CJ175004|环保设备
CJ175005|锂电设备
CJ175006|楼宇设备
CJ175007|农用机械
CJ175008|其他专用机械
CJ175009|冶金化工设备
CJ175010|印刷包装机械
CJ175011|油气设备
CJ1760|煤炭设备Ⅱ
CJ176001|煤炭设备Ⅲ
CJ1770|油气服务Ⅱ
CJ177001|油气服务Ⅲ
CJ18|建筑产品
CJ1810|装修建材
CJ181001|防水材料
CJ181002|管材制品
CJ181003|门窗五金
CJ181004|其他装修建材
CJ181005|陶瓷制造
CJ19|建筑工程
CJ1910|房屋建设Ⅱ
CJ191001|房屋建设Ⅲ
CJ1920|工程咨询Ⅱ
CJ192001|工程咨询Ⅲ
CJ1930|基础设施建设
CJ193001|国际工程
CJ193002|基建
CJ1940|建筑装饰Ⅱ
CJ194001|建筑装饰Ⅲ
CJ1950|园林建设Ⅱ
CJ195001|园林建设Ⅲ
CJ1960|专业工程
CJ196001|钢结构
CJ196002|化学工程
CJ196003|其他专业工程
CJ20|国防军工
CJ2010|地面兵装Ⅱ
CJ201001|地面兵装Ⅲ
CJ2020|航空装备Ⅱ
CJ202001|航空装备Ⅲ
CJ2030|航天装备Ⅱ
CJ203001|航天装备Ⅲ
CJ2040|通用装备Ⅱ
CJ204001|通用装备Ⅲ
CJ21|交通运输
CJ2110|海运
CJ211001|干散货
CJ211002|集运
CJ211003|客滚运输
CJ211004|油运
CJ2120|航空公司Ⅱ
CJ212001|航空公司Ⅲ
CJ2130|交通基础设施
CJ213001|港口
CJ213002|机场
CJ2140|铁路与公路
CJ214001|高速公路
CJ214002|公共交通
CJ214003|铁路
CJ2150|物流及供应链Ⅱ
CJ215001|快递
CJ215002|物流及供应链Ⅲ
CJ2160|贸易及综合服务商
CJ216001|工业品综合贸易
CJ216002|综合服务商
CJ22|环保
CJ2210|大气治理Ⅱ
CJ221001|大气治理Ⅲ
CJ2220|固废治理
CJ222001|环卫
CJ222002|湿垃圾
CJ222003|垃圾焚烧
CJ222004|再生资源
CJ222005|危废
CJ222006|生物质
CJ2230|环境监测Ⅱ
CJ223001|环境监测Ⅲ
CJ2240|节能节水
CJ224001|节能
CJ224002|节水
CJ2250|水处理
CJ225001|水环境工程设备
CJ225002|工业废水
CJ225003|水务运营
CJ2260|土壤修复Ⅱ
CJ226001|土壤修复Ⅲ
CJ23|检测服务
CJ2310|监测检测
CJ231001|综合检测
CJ231002|建工建材检测
CJ231003|建工检测
CJ231004|电器检测
CJ231005|汽车检测
CJ231006|环境与可靠性实验
CJ231007|金属材料检测
CJ231008|医药检测
CJ231009|体外诊断
CJ24|纺织服装
CJ2410|纺织制造
CJ241001|服装用纺织品
CJ241002|其他纺织品
CJ241003|纺织品贸易
CJ2420|品牌服饰
CJ242001|家纺
CJ242002|服装
CJ242003|鞋帽箱包
CJ242004|其他服饰
CJ25|家电制造
CJ2510|家电零部件Ⅱ
CJ251001|家电零部件Ⅲ
CJ2520|家用电器
CJ252001|白色家电
CJ252002|厨卫家电
CJ252003|小家电
CJ2530|家用消费电子
CJ253001|黑色家电
CJ2540|照明设备Ⅱ
CJ254001|照明设备Ⅲ
CJ26|家用装饰及休闲
CJ2610|家用轻工
CJ261001|家具
CJ261002|其他家庭装饰
CJ2620|文娱休闲用品Ⅱ
CJ262001|文娱休闲用品Ⅲ
CJ27|汽车
CJ2710|汽车经销及服务商
CJ271001|汽车销售及服务
CJ271002|综合汽车服务
CJ2720|零部件
CJ272001|乘用车零部件
CJ272002|商用车零部件
CJ272003|轮胎
CJ2730|汽车制造
CJ273001|乘用车
CJ273002|卡车
CJ273003|摩托车及其他整车
CJ273004|轻卡及商用载客车
CJ28|社会服务
CJ2810|酒店餐饮及休闲
CJ281001|餐饮
CJ281002|景区及休闲设施
CJ281003|酒店及旅游服务
CJ2820|综合消费者服务
CJ282001|教育服务
CJ282002|其他消费者服务
CJ282003|人力资源
CJ29|商业贸易
CJ2910|多元消费品贸易Ⅱ
CJ291001|多元消费品贸易Ⅲ
CJ2920|品牌零售
CJ292001|化妆品
CJ292002|黄金珠宝
CJ2930|商业物业经营
CJ293001|一般物业经营
CJ293002|专业市场
CJ2940|一般零售
CJ294001|百货
CJ294002|超市
CJ294003|电商
CJ294004|多业态零售
CJ2950|专业连锁Ⅱ
CJ295001|专业连锁Ⅲ
CJ30|农产品
CJ3010|农产品加工
CJ301001|其他农产品加工
CJ301002|宠物食品
CJ301003|制糖业
CJ3020|畜禽养殖
CJ302001|畜牧养殖
CJ302002|动物疫苗及兽药
CJ302003|饲料加工
CJ302004|禽养殖
CJ3030|林木及加工Ⅱ
CJ303001|林木及加工Ⅲ
CJ3040|种植业
CJ304001|种业
CJ304002|种植
CJ3050|渔业
CJ305001|水产捕捞
CJ305002|水产品加工
CJ305003|水产养殖
CJ31|食品饮料
CJ3110|白酒Ⅱ
CJ311001|白酒Ⅲ
CJ3120|其他酒精饮品
CJ312001|红酒
CJ312002|黄酒
CJ312003|啤酒
CJ312004|其他酒类
CJ3130|软饮料Ⅱ
CJ313001|软饮料Ⅲ
CJ3140|食品
CJ314001|肉制品
CJ314002|乳制品
CJ314003|食品综合
CJ314004|调味品
CJ314005|休闲食品
CJ32|医疗保健
CJ3210|医疗服务
CJ321001|CRO/CMO
CJ321002|其他医疗服务
CJ3220|医疗器械Ⅱ
CJ322001|医疗器械Ⅲ
CJ3230|医药流通及零售
CJ323001|医药零售
CJ323002|医药流通
CJ3240|制药
CJ324001|化学制药
CJ324002|生物制品
CJ324003|中药
CJ33|银行
CJ3310|城商行Ⅱ
CJ331001|城商行Ⅲ
CJ3320|股份行Ⅱ
CJ332001|股份行Ⅲ
CJ3330|国有行Ⅱ
CJ333001|国有行Ⅲ
CJ3340|农商行Ⅱ
CJ334001|农商行Ⅲ
CJ34|综合金融
CJ3410|多元金融
CJ341001|互联网金融
CJ341002|金融控股平台
CJ341003|投资公司
CJ341004|信托
CJ341005|资产管理公司
CJ341006|租赁
CJ3420|证券及期货
CJ342001|期货
CJ342002|证券
CJ35|保险
CJ3510|保险Ⅱ
CJ351001|财产险
CJ351002|人身险
CJ351003|综合保险
CJ36|电子
CJ3610|半导体
CJ361001|LED封装
CJ361002|LED芯片
CJ361003|LED应用
CJ361004|半导体材料
CJ361005|半导体分销
CJ361006|半导体设备
CJ361007|分立器件
CJ361008|集成电路封测
CJ361009|集成电路设计
CJ3620|电子产品
CJ362001|电子终端品
CJ362002|其他电子产品制造
CJ362003|电子专用设备
CJ3630|零部件及元器件
CJ363001|被动元器件
CJ363002|光学元件
CJ363003|消费电子零部件
CJ363004|印制电路板
CJ3640|显示器件
CJ364001|显示材料
CJ364002|显示面板
CJ364003|显示器
CJ37|计算机
CJ3710|计算机硬件及设备
CJ371001|专业硬件
CJ371002|通用硬件
CJ371003|金融硬件
CJ3720|软件
CJ372001|工业信息化
CJ372002|互联网软件服务
CJ372003|基础及通用软件
CJ372004|教育信息化
CJ372005|金融信息化
CJ372006|其他专用软件
CJ372007|系统集成
CJ372008|医疗信息化
CJ372009|政务信息化
CJ3730|信息技术
CJ373001|互联网服务及基础架构
CJ373002|信息安全
CJ373003|IT服务
CJ373004|智慧城市
CJ38|电信业务
CJ3810|通信设备
CJ381001|北斗
CJ381002|光通信
CJ381003|数据通信设备
CJ381004|无线设备
CJ381005|物联网
CJ3820|电信应用Ⅱ
CJ382001|电信应用Ⅲ
CJ3830|运营商
CJ383001|电信运营商
CJ383002|专网通信
CJ39|传媒互联网
CJ3910|互联网信息服务Ⅱ
CJ391001|互联网信息服务Ⅲ
CJ3920|媒体
CJ392001|出版
CJ392002|广播电视
CJ392003|广告营销
CJ3930|娱乐
CJ393001|影视制作
CJ393002|院线
CJ393003|游戏
CJ40|公用事业
CJ4010|电力
CJ401001|电网运营
CJ401002|火电发电运营
CJ401003|水电发电运营
CJ401004|新能源发电运营
CJ4020|复合型公用事业Ⅱ
CJ402001|复合型公用事业Ⅲ
CJ4030|燃气Ⅱ
CJ403001|燃气Ⅲ
CJ4040|水务
CJ404001|水务系统
CJ41|房地产
CJ4110|房地产服务
CJ411001|地产中介服务
CJ411002|房地产金融
CJ411003|物业管理
CJ4120|房地产开发管理
CJ412001|地产开发
CJ412002|商业物业
CJ412003|园区开发
######
#ZZHY
ZZ00|能源
ZZ0001|能源
ZZ000101|能源开采设备与服务
ZZ00010101|石油与天然气钻井
ZZ00010102|石油与天然气开采设备与服务
ZZ000102|石油与天然气
ZZ00010201|综合性石油与天然气企业
ZZ00010202|石油与天然气的勘探与生产
ZZ00010203|石油与天然气的炼制和营销
ZZ00010204|石油与天然气的储存和运输
ZZ000103|煤炭
ZZ00010301|煤炭
ZZ01|原材料
ZZ0101|原材料
ZZ010101|化学原料
ZZ01010101|化学原料
ZZ010102|化学制品
ZZ01010201|涂料涂漆
ZZ01010202|塑料制品
ZZ01010203|橡胶制品
ZZ01010204|印染化学品
ZZ01010205|纤维及树脂
ZZ01010206|化肥与农药
ZZ01010207|其他化学制品
ZZ010103|建筑材料
ZZ01010301|水泥
ZZ01010302|玻璃
ZZ01010303|其他建材
ZZ010104|容器与包装
ZZ01010401|金属与玻璃容器
ZZ01010402|纸材料包装
ZZ010105|有色金属
ZZ01010501|铝
ZZ01010502|铜
ZZ01010503|黄金及其他贵金属
ZZ01010504|稀有金属
ZZ01010505|其他有色金属及合金
ZZ010106|钢铁
ZZ01010601|钢铁
ZZ010107|非金属采矿及制品
ZZ01010701|非金属采矿及制品
ZZ010108|纸类与林业产品
ZZ01010801|林业产品
ZZ01010802|纸制品
ZZ02|工业
ZZ0201|资本品
ZZ020101|航空航天与国防
ZZ02010101|航空航天与国防
ZZ020102|建筑产品
ZZ02010201|建筑产品
ZZ020103|建筑与工程
ZZ02010301|土木工程
ZZ02010302|建筑装修
ZZ02010303|园林工程
ZZ020104|电气设备
ZZ02010401|电气部件与设备
ZZ02010402|重型电气设备
ZZ02010403|新能源设备
ZZ020105|工业集团企业
ZZ02010501|工业集团企业
ZZ020106|机械制造
ZZ02010601|通用机械
ZZ02010602|工程机械
ZZ02010603|商用货车
ZZ02010604|农用机械
ZZ02010605|铁路设备
ZZ02010606|船舶制造
ZZ02010607|其他机械设备
ZZ020107|环保设备、工程与服务
ZZ02010701|环保设备
ZZ02010702|环保工程
ZZ02010703|环保服务
ZZ0202|商业服务与用品
ZZ020201|商业服务与用品
ZZ02020101|商业印刷
ZZ02020102|市场服务
ZZ02020103|办公服务与用品
ZZ02020104|工业品贸易商
ZZ02020105|其他商业服务
ZZ0203|交通运输
ZZ020301|航空货运与物流
ZZ02030101|航空货运
ZZ02030102|物流
ZZ020302|航空公司
ZZ02030201|航空公司
ZZ020303|航运
ZZ02030301|航运
ZZ020304|道路运输
ZZ02030401|铁路运输
ZZ02030402|公路运输
ZZ02030403|公共交通
ZZ020305|交通基本设施
ZZ02030501|机场
ZZ02030502|高速公路
ZZ02030503|铁路
ZZ02030504|港口
ZZ03|可选消费
ZZ0301|汽车与汽车零部件
ZZ030101|汽车零配件与轮胎
ZZ03010101|汽车零配件
ZZ03010102|轮胎
ZZ030102|汽车与摩托车
ZZ03010201|汽车
ZZ03010202|摩托车
ZZ03010203|汽车经销商与汽车服务
ZZ0302|耐用消费品与服装
ZZ030201|家庭耐用消费品
ZZ03020101|消费电子产品
ZZ03020102|家庭装饰品
ZZ03020103|家用电器
ZZ03020104|家用器具与特殊消费品
ZZ030202|休闲设备与用品
ZZ03020201|休闲设备与用品
ZZ030203|纺织服装
ZZ03020301|服装服饰
ZZ03020302|鞋类
ZZ03020303|纺织品
ZZ030204|珠宝与奢侈品
ZZ03020401|珠宝与奢侈品
ZZ0303|消费者服务
ZZ030301|酒店、餐馆与休闲
ZZ03030101|景点
ZZ03030102|酒店
ZZ03030103|休闲服务
ZZ03030104|餐馆
ZZ03030105|博彩
ZZ03030106|旅行社
ZZ030302|综合消费者服务
ZZ03030201|教育服务
ZZ03030202|特殊消费者服务
ZZ0304|传媒
ZZ030401|传媒
ZZ03040101|营销与广告
ZZ03040102|广播与有线电视
ZZ03040103|电影与娱乐
ZZ03040104|出版
ZZ0305|零售业
ZZ030501|日用品经销商
ZZ03050101|日用品经销商
ZZ030502|互联网零售
ZZ03050201|互联网零售
ZZ030503|多元化零售
ZZ03050301|百货商店
ZZ03050302|综合货品商店
ZZ030504|其他零售
ZZ03050401|其他零售
ZZ04|主要消费
ZZ0401|食品与主要用品零售
ZZ040101|食品与主要用品零售
ZZ04010101|食品经销商
ZZ04010102|大卖场与超市
ZZ0402|食品、饮料与烟草
ZZ040201|饮料
ZZ04020101|白酒
ZZ04020102|啤酒
ZZ04020103|黄酒
ZZ04020104|葡萄酒及其他
ZZ04020105|软饮料
ZZ040202|包装食品与肉类
ZZ04020201|包装食品与肉类
ZZ040203|烟草
ZZ04020301|烟草
ZZ040204|农牧渔产品
ZZ04020401|畜牧产品
ZZ04020402|渔业产品
ZZ04020403|其他农产品
ZZ0403|家庭与个人用品
ZZ040301|家常用品
ZZ04030101|家常用品
ZZ040302|个人用品
ZZ04030201|个人用品
ZZ05|医药卫生
ZZ0501|医疗器械与服务
ZZ050101|医疗器械
ZZ05010101|医疗器械
ZZ050102|医疗用品与服务提供商
ZZ05010201|医疗用品经销商
ZZ05010202|医疗保健服务
ZZ05010203|医疗保健机构
ZZ05010204|医疗保健技术
ZZ0502|医药生物
ZZ050201|生物科技
ZZ05020101|生物科技
ZZ050202|制药
ZZ05020201|化学药
ZZ05020202|中药
ZZ05020203|药品经销商
ZZ050203|制药与生物科技服务
ZZ05020301|制药与生物科技服务
ZZ06|金融地产
ZZ0601|银行
ZZ060101|商业银行
ZZ06010101|综合性银行
ZZ06010102|区域性银行
ZZ060102|抵押信贷机构
ZZ06010201|抵押信贷机构
ZZ0602|其他金融
ZZ060201|其他金融服务
ZZ06020101|其他综合性金融服务
ZZ06020102|多领域控股
ZZ06020103|特殊金融服务
ZZ060202|消费信贷
ZZ06020201|消费信贷
ZZ0603|资本市场
ZZ060301|资本市场
ZZ06030101|资产管理与托管银行
ZZ06030102|投资银行业与经纪业
ZZ06030103|综合性资本市场
ZZ06030104|金融交易与数据
ZZ0604|保险
ZZ060401|保险
ZZ06040101|人寿与健康保险
ZZ06040102|多元化保险
ZZ06040103|财产与意外伤害保险
ZZ06040104|再保险
ZZ06040105|保险经纪商
ZZ0605|房地产
ZZ060501|房地产开发与园区
ZZ06050101|房地产开发
ZZ06050102|园区
ZZ060502|房地产管理与服务
ZZ06050201|房地产管理与服务
ZZ060503|房地产投资信托(REITs)
ZZ06050301|房地产投资信托(REITs)
ZZ07|信息技术
ZZ0701|计算机运用
ZZ070101|互联网服务
ZZ07010101|互联网信息服务
ZZ07010102|移动互联网信息服务
ZZ070102|信息技术服务
ZZ07010201|系统集成及IT咨询
ZZ07010202|IT外包服务
ZZ070103|软件开发
ZZ07010301|软件开发
ZZ0702|计算机及电子设备
ZZ070201|电脑与外围设备
ZZ07020101|电脑与外围设备
ZZ070202|电子设备
ZZ07020201|电子设备及仪表制造商
ZZ07020202|光电子器件
ZZ07020203|电脑及电子设备经销商
ZZ0703|半导体
ZZ070301|半导体
ZZ07030101|半导体
ZZ08|电信业务
ZZ0801|电信服务
ZZ080101|电信运营服务
ZZ08010101|电信运营服务
ZZ080102|电信增值服务
ZZ08010201|电信增值服务
ZZ0802|通信设备
ZZ080201|通信设备
ZZ08020101|通信终端设备
ZZ08020102|通信传输设备
ZZ08020103|其他通信设备
ZZ09|公用事业
ZZ0901|公用事业
ZZ090101|电力
ZZ09010101|火电
ZZ09010102|水电
ZZ09010103|核电
ZZ09010104|新能源发电
ZZ090102|燃气
ZZ09010201|燃气
ZZ090103|供热或其他公用事业
ZZ09010301|供热或其他公用事业
ZZ090104|水务
ZZ09010401|水务
ZZ090105|电网
ZZ09010501|电网
######
#ZQGS_JGID
1|申银万国
2|国泰海通
3|中金公司
4|光大证券
5|招商证券
6|渤海证券
7|海通证券
8|长城证券
10|东方证券
11|中信证券
12|国信证券
13|华泰联合
15|广东证券
16|红塔证券
17|银河证券
19|中银证券
20|平安证券
21|大通证券
22|兴业证券
23|湘财证券
24|长江证券
25|西南证券
27|新疆证券
28|方正证券
29|财富证券
32|广发证券
33|中原证券
34|信泰证券
35|华泰证券
36|国都证券
37|华西证券
38|广州证券
39|世纪证券
40|江南证券
41|成都证券
43|中信建投
44|金元证券
45|国海证券
47|民生证券
48|中投证券
49|第一创业
50|中泰证券
51|南京证券
54|东北证券
57|国盛证券
59|英大证券
60|金通证券
61|国金证券
63|安信证券
64|国元证券
65|上海证券
67|国联证券
68|民族证券
69|万联证券
70|德邦证券
71|凯基证券
72|东莞证券
75|宏源证券
76|东海证券
77|信达证券
78|东吴证券
79|山西证券
82|浙商证券
86|中国建银
87|华创证券
88|东兴证券
93|江海证券
96|华融证券
98|大同证券
101|东亚前海
103|华菁证券
105|华信证券
106|财通证券
107|汇丰前海
108|联储证券
109|申港证券
110|长城国瑞
111|中天国福
112|爱建证券
113|华林证券
114|交银国际
115|国融证券
121|华龙证券
122|恒泰证券
123|中邮证券
124|太平洋证券
125|西部证券
139|中航证券
146|中信金通
149|华宝证券
195|厦门证券
198|中信万通
199|广发华福
206|华安证券
213|华鑫证券
217|财达证券
228|瑞银证券
229|高华证券
231|川财证券
232|第一创业摩根
233|高盛高华
234|海际大和
235|华金证券
236|宏信证券
237|开源证券
238|瑞信方正
239|九州证券
240|银泰证券
241|中德证券
242|中山证券
243|财富里昂
244|网信证券
245|东方花旗
246|国开证券
247|恒泰长财
248|华福证券
249|华英证券
250|联讯证券
251|摩根华鑫证券
252|首创证券
253|天风证券
254|万和证券
255|五矿证券
257|新时代证券
259|中天证券
294|工银证券
296|恒利证券
299|招商证券(香港)
310|众成证券
317|第一上海
324|安信国际
325|中信证券(香港)
326|国信证券(香港)
329|平安证券(香港)
330|群益证券
331|信诚证券
332|越秀证券
333|中投证券(香港)
343|金利丰证券
344|金英证券
345|南华证券
347|泓福证券
348|胜利证券
350|元富证券
357|大和证券
358|财通国际
359|宝通证券
361|华富嘉洛
363|致富证券
368|东方财富
372|申万宏源
379|中泰国际
380|辉立证券
387|粤开证券
391|浦银国际
######
#FUND_JGID
10040010|中金公司
10040011|诚通证券
10040012|东兴证券
10040015|中信建投
10040025|中信证券
10040026|湘财证券
10040029|华安证券
10040031|财信证券
10040032|国元证券
10040033|国信证券
10040036|平安证券
10040038|中金财富证券
10040039|上海证券
10040040|中银国际
10040043|山西证券
10040046|国都证券
10040047|中原证券
10040048|南京证券
10040050|东海证券
10040052|东吴证券
10040053|华鑫证券
10040054|国联证券
10040056|西部证券
10040057|长城证券
10040062|国海证券
10040065|第一创业
10040067|太平洋证券
10040068|恒泰证券
10040071|方正证券
10040076|东莞证券
10040083|万联证券
10040087|信达证券
10040088|华创证券
10040095|粤开证券
10040106|西南证券
10040122|财达证券
10040138|申万宏源
10060001|银河基金
10060002|融通基金
10060003|长城基金
10060004|金鹰基金
10060005|宝盈基金
10060006|摩根华鑫基金
10060007|国联安基金
10060008|申万菱信基金
10060009|兴证全球基金
10060010|天治基金
10060011|中海基金
10060012|东方基金
10060013|华富基金
10060014|天弘基金
10060015|华泰柏瑞基金
10060016|汇丰晋信基金
10060017|益民基金
10060018|诺德基金
10060019|东吴基金
10060020|中邮创业基金
10060021|信达澳亚基金
10060022|金元顺安
10060023|华商基金
10060024|农银汇理基金
10060025|浙商基金
10060026|民生加银基金
10060027|平安基金
10060028|富安达基金
10060029|财通基金
10060030|方正富邦基金
10060031|诺安基金
10060032|长安基金
10060033|汇添富基金
10060034|国金基金
10060035|长盛基金
10060036|中银基金
10060038|鹏华基金
10060042|南方基金
10060043|摩根基金
10060044|交银施罗德基金
10060045|嘉实基金
10060046|富国基金
10060047|宏利基金
10060048|安信基金
10060049|广发基金
10060050|华宝基金
10060051|西部利得基金
10060052|浦银安盛基金
10060053|中信保诚基金
10060054|建信基金
10060055|光大保德信基金
10060056|泰信基金
10060057|国海富兰克林基金
10060058|新华基金
10060059|国泰基金
10060060|万家基金
10060061|中欧基金
10060062|易方达基金
10060063|国投瑞银
10060064|海富通基金
10060065|工银瑞信基金
10060066|华夏基金
10060067|博时基金
10060068|华安基金
10060069|招商基金
10060070|大成基金
10060071|长信基金
10060072|景顺长城基金
10060073|银华基金
10060074|德邦基金
10060075|英大基金
10060076|华宸未来基金
10060077|新沃基金
10060078|华润元大基金
10060079|中加基金
10060082|国联基金
10060083|前海开源
10060084|北京京管泰富基金
10060085|鑫元基金
10060086|国寿安保
10060087|中信建投基金
10060088|永赢基金
10060089|上银基金
10060090|兴业基金
10060091|江信基金
10060092|圆信永丰基金
10060093|北信瑞丰基金
10060094|红塔红土基金
10060095|太平基金
10060096|兴银基金
10060097|中金基金
10060098|东海基金
10060099|创金合信
10060100|嘉合基金
10060102|泓德基金
10060103|九泰基金
10060106|红土创新
10060107|前海联合基金
10060108|金信基金
10060109|中科沃土
10060110|先锋基金
10060111|汇安基金
10060112|富荣基金
10060113|华泰保兴基金
10060114|中航基金
10060115|恒生前海基金
10060116|鹏扬基金
10060117|格林基金
10060118|南华基金
10060119|东方阿尔法基金
10060120|国融基金
10060121|恒越基金
10060122|凯石基金
10060123|博道基金
10060124|合煦智远
10060125|弘毅远方基金
10060126|中庚基金
10060127|蜂巢基金
10060128|湘财基金
10060129|睿远基金
10060130|淳厚基金
10060131|朱雀基金
10060132|同泰基金
10060133|惠升基金
10060134|博远基金
10060135|东财基金
10060136|明亚基金
10060137|国新国证基金
10060138|达诚基金
10060139|兴华基金
10060140|摩根基金(亚洲)
10060141|博时基金(国际)
10060142|汇丰投资(香港)
10060143|惠理基金香港
10060144|瑞达基金
10060145|东兴基金
10060146|汇泉基金
10060147|百嘉基金
10060148|贝莱德基金
10060149|尚正基金
10060150|易米基金
10060151|兴合基金
10060152|泉果基金
10060153|泰康基金
10060154|路博迈基金
10060155|富达基金
10200787|东证资管
10200981|浙商资管
10201009|泰康资产
10201064|长江资管
10201086|渤海汇金
10201088|人保资管
10201090|华泰证券资管
10201095|财通证券资管
10201101|东方汇理资产
10201108|中泰证券资管
10201111|兴证资管
10201112|招商资管
10201113|海通资管
10201114|广发资管
10201115|光大资管
10201116|国泰海通资管
10201117|安信资管
10201118|海通国际(香港)
10201119|行健资管
10201120|施罗德资管(香港)
10201121|东亚联丰资管
10201160|天风资管
10201161|银河金汇证券
19990068|东证融汇
19990069|德邦证券资管
10060156|华西基金
10170201|兴证国际资管
######
#JPHY
J01|水产及农林业
J02|矿业
J03|建筑业
J04|食品
J05|纤维制品
J06|纸浆及纸
J07|化学品
J08|医药品
J09|石油及煤炭产品
J10|橡胶制品
J11|玻璃及粘土制品
J12|钢铁
J13|有色金属
J14|金属制品
J15|机械
J16|电气设备
J17|运输设备
J18|精密仪器
J19|其他产品
J20|电力及天然气
J21|陆运
J22|海运
J23|空运
J24|仓储物流
J25|信息通信业
J26|批发业
J27|零售业
J28|银行
J29|证券及商品期货
J30|保险
J31|其他金融服务
J32|房地产
J33|服务业
J99|其他
######
